,file,page,nb_pages,path,commune,section,parcelle,authorized_area,forbidden_area,no_authorization_needed_area
71,data/doc/raw/2020/2020-07-01_RAA-2020-140.pdf,7,3,data/doc/pdfa/2020/2020-07-01_R02-2020-06-20-001.pdf,LE DIAMANT,"
C",356,0.368,0.0,0
72,data/doc/raw/2020/2020-07-01_RAA-2020-140.pdf,11,3,data/doc/pdfa/2020/2020-07-01_R02-2020-06-29-003.pdf,Sainte Anne,B,1021,0.0822,0.0,0
73,data/doc/raw/2020/2020-07-01_RAA-2020-140.pdf,15,3,data/doc/pdfa/2020/2020-07-01_R02-2020-06-29-006.pdf,Trois Ilets,1,1027,0.0,0.0,0
74,data/doc/raw/2020/2020-07-01_RAA-2020-140.pdf,19,3,data/doc/pdfa/2020/2020-07-01_R02-2020-06-29-004.pdf,LE LAMENTIN,AK,105,0.16040000000000001,0.0,0
75,data/doc/raw/2020/2020-06-20_RAA-2020-128.pdf,20,3,data/doc/pdfa/2020/2020-06-20_R02-2020-06-18-005.pdf,FORT-DE-FRANCE,R,61,0.0489,0.0728,0
76,data/doc/raw/2020/2020-06-20_RAA-2020-128.pdf,24,4,data/doc/pdfa/2020/2020-06-20_R02-2020-06-18-007.pdf,MARIN,K,1081,0.0,0.2563,0
77,data/doc/raw/2020/2020-06-20_RAA-2020-128.pdf,29,3,data/doc/pdfa/2020/2020-06-20_R02-2020-06-18-004.pdf,SCHOELCHER,E,356,0.1966,0.0,0
78,data/doc/raw/2020/2020-09-08_RAA-2020-195.pdf,21,6,data/doc/pdfa/2020/2020-09-08_R02-2020-08-24-007.pdf,,,,0.0,0.0,0
79,data/doc/raw/2020/2020-03-18_RAA-2020-039.pdf,63,3,data/doc/pdfa/2020/2020-03-18_R02-2020-03-11-001.pdf,LE VAUCLIN,D,1488,0.1271,0.0158,0
80,data/doc/raw/2020/2020-12-14_RAA-2020-280.pdf,38,4,data/doc/pdfa/2020/2020-12-14_R02-2020-12-09-002.pdf,RIVIÈRE-SALÉE,D,1134,0.1129,0.4517,0
81,data/doc/raw/2020/2020-02-27_RAA-2020-026.pdf,53,3,data/doc/pdfa/2020/2020-02-27_R02-2020-02-18-009.pdf,LES ANSES-D'ARLET,N,"793, 794,",0.0,0.5546000000000001,0
82,data/doc/raw/2020/2020-02-27_RAA-2020-026.pdf,57,2,data/doc/pdfa/2020/2020-02-27_R02-2020-02-18-008.pdf,RIVIÈRE-SALÉE,N,472,0.1053,2.7328,0
83,data/doc/raw/2020/2020-06-23_RAA-2020-130.pdf,8,3,data/doc/pdfa/2020/2020-06-23_R02-2020-06-18-008.pdf,RIVIÈRE-SALÉE,D,1144,0.1129,0.4517,0
84,data/doc/raw/2020/2020-05-27_RAA-2020-101.pdf,3,3,data/doc/pdfa/2020/2020-05-27_R02-2020-05-06-001.pdf,CASE-PILOTE,B,1942,0.1014,0.0,0
85,data/doc/raw/2020/2020-05-27_RAA-2020-101.pdf,30,2,data/doc/pdfa/2020/2020-05-27_R02-2020-04-24-013.pdf,MARIN,A,249,0.65,0.0,0
86,data/doc/raw/2020/2020-07-17_RAA-2020-154.pdf,67,5,data/doc/pdfa/2020/2020-07-17_R02-2020-07-15-003.pdf,FRANCOIS,E,790,0.2807,0.228,0
87,data/doc/raw/2020/2020-07-17_RAA-2020-154.pdf,73,4,data/doc/pdfa/2020/2020-07-17_R02-2020-07-15-004.pdf,FRANCOIS,E,788,0.3315,0.0,0
88,data/doc/raw/2020/2020-07-17_RAA-2020-154.pdf,78,4,data/doc/pdfa/2020/2020-07-17_R02-2020-07-09-003.pdf,Anses d'Arlets,D,85,0.3279,0.2361,0
89,data/doc/raw/2020/2020-01-15_RAA-2020-005.pdf,55,3,data/doc/pdfa/2020/2020-01-15_R02-2020-01-13-003.pdf,LA TRINITÉ,Y,"124, 293,",0.0422,0.4266,0
90,data/doc/raw/2020/2020-01-15_RAA-2020-005.pdf,59,5,data/doc/pdfa/2020/2020-01-15_R02-2020-01-08-002.pdf,LE LAMENTIN,K,1081,0.0227,0.5843999999999999,0
91,data/doc/raw/2020/2020-01-15_RAA-2020-005.pdf,65,3,data/doc/pdfa/2020/2020-01-15_R02-2020-01-08-003.pdf,LE LAMENTIN,K,488,0.0,0.5843999999999999,0
